"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Jiejie","EDward Gaming","Jungle",25,"56%","64%",58,51,142,3.9,"66.4%","19.3%","19.2%",,,,,5.4,,268,"11.9%",,192,"16.5%",,0.41,0.3,0.44
"Jinjiao","LGD Gaming","Support",21,"33%","43%",16,79,168,2.3,"78.0%","6.8%","25.3%",,,,,1.4,,163,"8.1%",,108,"10.0%",,1.41,0.39,0.35
"Kanavi","JD Gaming","Jungle",30,"70%","67%",138,67,219,5.3,"72.4%","28.0%","20.8%",,,,,6.4,,412,"16.7%",,254,"19.9%",,0.45,0.25,0.52
"Karsa","Victory Five","Jungle",16,"75%","44%",38,45,121,3.5,"70.0%","16.7%","25.3%",,,,,5.7,,305,"13.7%",,214,"17.6%",,0.48,0.39,0.38
"Kedaya","Team WE","Support",6,"0%","67%",0,27,33,1.2,"66.0%","0.0%","23.5%",,,,,1.1,,127,"8.0%",,84,"8.1%",,1.66,0.51,0.45
"Kepler","ThunderTalk Gaming","ADC",9,"56%","56%",48,21,42,4.3,"70.3%","37.5%","20.6%",,,,,10.1,,547,"27.1%",,347,"28.7%",,0.37,0.09,0.52
"knight","Top Esports","Middle",26,"73%","54%",124,29,168,10.1,"75.6%","32.1%","11.6%",,,,,9.2,,630,"27.7%",,308,"25.0%",,0.39,0.14,0.27
"Kui","LGD Gaming","Jungle",4,"25%","0%",5,13,17,1.7,"51.2%","11.6%","21.3%",,,,,5.2,,242,"11.9%",,175,"16.5%",,0.47,0.28,0.44
"Leyan","Rare Atom","Jungle",24,"33%","54%",69,70,117,2.7,"72.1%","26.7%","19.8%",,,,,5.8,,321,"16.1%",,209,"18.8%",,0.4,0.2,0.45
"Light","LNG Esports","ADC",26,"50%","42%",110,46,116,4.9,"71.5%","34.8%","13.9%",,,,,9.2,,570,"26.2%",,307,"26.9%",,0.46,0.07,0.44
"LvMao","LNG Esports","Support",8,"38%","50%",4,33,50,1.6,"62.8%","4.7%","27.0%",,,,,0.9,,132,"6.7%",,89,"7.9%",,1.82,0.61,0.37
"Lwx","FunPlus Phoenix","ADC",26,"46%","46%",77,68,115,2.8,"61.9%","24.8%","19.8%",,,,,9.1,,541,"26.0%",,300,"26.0%",,0.49,0.15,0.38
"Mark","Top Esports","Support",26,"73%","54%",25,50,244,5.4,"69.7%","6.5%","20.0%",,,,,1.5,,148,"6.4%",,123,"10.0%",,1.49,0.47,0.37
"Meiko","EDward Gaming","Support",25,"56%","52%",17,57,190,3.6,"68.8%","5.6%","21.5%",,,,,1.8,,169,"7.6%",,116,"9.9%",,1.26,0.4,0.29
